pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
HD 63433 c,20.5438281,35.3582,678.92,2.692,15.539,0.21,5553.0,-0.07,0,0.25837006,35.3582,0,0.7965222283066994,423.91999999999996,G,True,False,False,False,0.3635
TOI-128.01,4.9404681,182.406,1344.51,2.21898,5.56,0.05072,6086.0,0.1684,0,,182.406,0,0.5088791157461549,1089.51,F,False,False,False,False,0.2467
AB Aur b,358592.915102,0.0067,83.63,12.5,2860.455663,0.4,9770.0,-0.148,0,0.078618445,0.0067,0,1.464553299456,171.37,Hot,False,True,False,False,0.1356
Kepler-49 d,2.576549,64.39,717.0,1.6,235.982,0.0,4252.0,0.03,0,0.29182645,64.39,0,57.612792968749986,462.0,K,False,False,True,False,0.2401
HD 114729 b,1121.79,0.617,237.89,13.9,262.20975,0.079,5844.0,-0.33,0,0.36558938,0.617,1,0.0976347538500435,17.110000000000014,G,True,False,False,False,0.4263
Kepler-107 c,4.901452,602.0,1378.0,1.597,10.0,0.08,5854.0,0.321,0,0.27688237,602.0,0,2.455190819955691,1123.0,G,True,False,False,False,0.2073
Kepler-88 d,1403.0,0.1124,158.95,13.1,965.14699656,0.41,5466.0,0.27,0,0.17563638,0.1124,0,0.42931847356712877,96.05000000000001,G,True,False,False,False,0.2718
TOI-2095 b,17.66484,3.43,347.0,1.25,4.1,0.0,3759.0,-0.24,0,,3.43,0,2.0991999999999997,92.0,M,False,False,False,True,0.7246
WASP-67 b,4.61442,188.1062,1003.0,12.89035,136.6669,0.0,5200.0,-0.07,0,0.074826957,188.1062,0,0.06380713060573302,748.0,K,False,False,True,False,0.1739
Kepler-1755 b,24.81209946,37.43,631.0,5.91688317,29.4,0.0,6086.0,-0.26,0,0.1491395,37.43,0,0.14192808664407247,376.0,F,False,False,False,False,0.3304
Teegarden's Star c,11.416,0.35,209.0,1.02,1.05,0.04,3034.0,-0.11,1,0.67577895,0.35,1,0.9894384512743967,46.0,M,False,False,False,True,0.8731
TOI-2000 b,3.09833,628.0,1488.0,2.7,11.0,0.0,5611.0,0.439,0,,628.0,0,0.5588578976781994,1233.0,G,True,False,False,False,0.19
WASP-131 b,5.3220125,995.3724,1460.0,13.74221034,86.76715511,0.0,5990.0,-0.2,0,0.066811734,995.3724,0,0.03343378792386266,1205.0,G,True,False,False,False,0.1277
HD 144899 b,40.43914,58.843,770.87,4.77,20.34101805,0.821,6126.0,-0.00302,0,0.16657715,58.843,0,0.18742069674938944,515.87,F,False,False,False,False,0.3046
TOI-5736 b,0.64899,493.4827,1311.0,1.56,3.05,0.059,3949.0,0.0494,0,,493.4827,0,0.8033893019100119,1056.0,K,False,False,True,False,0.2489
